id;название;активность;Дата изм.
1111117;Платформы ;true;17.07.2024
1111118;Инструменты ;true;17.07.2024
1111119;Среда разработки ;true;17.07.2024
1111121;Базы данных ;true;17.07.2024
1111122;Типы систем ;true;17.07.2024
1111123;Фреймворки ;true;17.07.2024
1111124;Язык программирования ;true;17.07.2024
1111120;Технологии ;true;17.07.2024
1111182;Отрасли ;true;17.07.2024
1111183;Предметные области ;true;17.07.2024
1111184;Языки ;true;17.07.2024
1111185;Сертификаты ;true;17.07.2024
1111186;Образование ;true;17.07.2024
