"id","название","начало_периода","конец_периода","активность","Дата изм."
"1111181","до 2018","31/12/2000","31/3/2017","true","16/7/2024"
"1111187","2018","1/4/2017","31/3/2018","true","17/7/2024"
"1111125","1п - 2018","1/4/2017","30/9/2017","true","17/7/2024"
"1111126","2п -2018","1/10/2017","31/3/2018","true","17/7/2024"
"1111127","2019","1/4/2018","31/3/2019","true","17/7/2024"
"1111128","1п - 2019","1/4/2018","30/9/2018","true","17/7/2024"
"1111129","2п - 2019","1/10/2018","31/3/2019","true","17/7/2024"
"1111133","2020","1/4/2019","31/3/2020","true","17/7/2024"
"1111134","1п - 2020","1/4/2019","30/9/2019","true","17/7/2024"
"1111135","2п - 2020","1/10/2019","31/3/2020","true","17/7/2024"
"1111142","2021","1/4/2020","31/3/2021","true","17/7/2024"
"1111143","1п - 2021","1/4/2020","30/9/2020","true","17/7/2024"
"1111144","2п - 2021","1/10/2020","31/3/2021","true","17/7/2024"
"1111145","2022","1/4/2021","31/3/2022","true","17/7/2024"
"1111146","1п - 2022","1/4/2021","30/9/2021","true","17/7/2024"
"1111147","2п - 2022","1/10/2021","31/3/2022","true","17/7/2024"
"1111154","2023","1/4/2022","31/3/2023","true","17/7/2024"
"1111155","1п - 2023","1/4/2022","30/9/2022","true","17/7/2024"
"1111156","2п - 2023","1/10/2022","31/3/2023","true","17/7/2024"
"1111160","2024","1/4/2023","31/3/2024","true","17/7/2024"
"1111161","1п - 2024","1/4/2023","30/9/2023","true","17/7/2024"
"1111162","2п - 2024","1/10/2023","31/3/2024","true","17/7/2024"
"1111163","2025","1/4/2024","31/3/2025","true","17/7/2024"
"1111164","1п - 2025","1/4/2024","30/9/2024","true","17/7/2024"
"1111165","2п - 2025 ","1/10/2024","31/3/2025","true","17/7/2024"
"1111166","2026","1/4/2025","31/3/2026","true","17/7/2024"
"1111167","1п - 2026","1/4/2025","30/9/2025","true","17/7/2024"
"1111168","2п - 2026","1/10/2025","31/3/2026","true","17/7/2024"
"1111169","2027","1/4/2026","31/3/2027","true","17/7/2024"
"1111170","1п - 2027","1/4/2026","30/9/2026","true","17/7/2024"
"1111171","2п - 2027","1/10/2026","31/3/2027","true","17/7/2024"
"1111172","2028","1/4/2027","31/3/2028","true","17/7/2024"
"1111173","1п - 2028","1/4/2027","30/9/2027","true","17/7/2024"
"1111174","2п - 2028","1/10/2027","31/3/2028","true","17/7/2024"
"1111175","2029","1/4/2028","31/3/2029","true","17/7/2024"
"1111176","1п - 2029","1/4/2028","30/9/2028","true","17/7/2024"
"1111177","2п - 2029","1/10/2028","31/3/2029","true","17/7/2024"
"1111178","2030","1/4/2029","31/3/2030","true","17/7/2024"
"1111179","1п - 2030","1/4/2029","30/9/2029","true","17/7/2024"
"1111180","2п - 2030","1/10/2029","31/03/2030","true","17/7/2024"
